Title,Location,Salary,Description,ID
Software Developer,"Chicago, IL",$87K - $105K (Glassdoor est.),"Analyze user needs and develop software solutions. Design, develop, test, and deploy custom and complex Application Integrations by working individually or…&hellip;
Skills: AWS",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.82
Software Engineer,"Chicago, IL",,"Degree in Computer Science or a related field. The ideal candidate will have experience with modern front-end technologies and practices, including Next.js,…&hellip;
Skills: React, DevOps, Content management systems, Project coordination, JavaScript",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.86
"Senior Lead Software Engineer, Front End","Chicago, IL",,"Own the technical design and development of cross-functional, multi-platform application systems. Capital One will consider for employment qualified applicants…&hellip;
Skills: Azure, Management, Node.js, CSS, React",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.89
Senior Software Engineer,"Chicago, IL",$114K - $162K (Glassdoor est.),"Familiarity with modern front-end build pipelines and tools. Experience with application state management concepts and libraries.&hellip;
Skills: CI/CD, Computer science, Management, React, Kubernetes",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.90
ReactJS Developer - SC2025 - RJSD,"Rosemont, IL",$62K - $93K (Glassdoor est.),"Developing and maintaining technical documentation, including design documents, user guides, and API specifications, to effectively communicate complex concepts…&hellip;
Skills: Management, Node.js, CSS, React, Web development",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.94
Lead Java Engineer,"Chicago, IL",$70.00 - $87.00 Per Hour (Employer est.),"Additionally, they will have experience owning their work from design through implementation and deployment as well as experience mentoring and guiding a team.&hellip;
Skills: Computer science, Elasticsearch, Cloud architecture, Software deployment, DevOps",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.98
Developer,"Evanston, IL",$85K - $120K (Employer est.),"Successful completion of a full 4-year course of study in an accredited college or university leading to a bachelor's or higher degree in a major such as…&hellip;
Skills: Node.js, CSS, Web development, Data structures, SQL",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.99
Software Engineer,"Chicago, IL",$500K - $900K (Employer est.),"Design and implement low latency trading systems. Work closely with trading teams. Implement and test feed handlers. BS in CompSci or similarly related degree.&hellip;
Skills: TCP, C++, TCP/IP",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.103
Project Engineer - Building Automation & HVAC Controls,United States,$90K - $120K (Employer est.),"Must have excellent verbal and written communication skills, ability to effectively analyze and solve technical problems in the field and work effectively as…&hellip;
Skills: Mechanical engineering, System design, Build automation, Electrical engineering, HVAC",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.107
UI Developer - SC2025 - UID,"Rosemont, IL",$63K - $94K (Glassdoor est.),"Seamless integration of front-end and back-end components. . Framework Expertise: Good to have proficiency in popular front-end frameworks and libraries such.&hellip;
Skills: CSS, React, Responsive web design, JavaScript, Angular",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.108
