Title,Location,Salary,Description,ID
Software Developer - AI Trainer,"Elgin, IL",$40.00 Per Hour (Employer est.),"You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure…&hellip;
Skills: Writing skills, C#, English, SQL, C++",<built-in function id>
Application Developer,"Wheeling, IL",$61K - $91K (Glassdoor est.),"Associate Degree or comparable certification in SQL and/or other programming language. Knowledge of database design and best practices.&hellip;
Skills: Oracle, Software troubleshooting, Relational databases, Databases, SQL",<built-in function id>
"Software Engineer II - Aurora, IL","Aurora, IL",$65K - $80K (Employer est.),"Perform functions to design and develop software systems. Provide technical support to software analysts or end users to resolve system problems.&hellip;
Skills: Precision measuring instruments, Relational databases, C#, .NET, Databases",<built-in function id>
C++ Software Engineer,"Chicago, IL",$91K - $151K (Glassdoor est.),"Bachelor’s degree in a STEM field or equivalent experience. Experience in algorithmic trading software engineering a plus. Job Type:* Full-time, in-office.&hellip;
Skills: Rust, C++, C, Software development, Communication skills",<built-in function id>
Andrioid/IOS Application Developer,"Bolingbrook, IL",$45K - $50K (Employer est.),"We are seeking a skilled and creative Android and iOS App Developer to design, develop, and maintain mobile applications for both platforms.&hellip;
Skills: Urdu, CI/CD, Computer science, Azure, iOS development",<built-in function id>
Database Developer,"Chicago, IL",$87K - $115K (Employer est.),"Bachelor degree in computer science or related field or 5+ years equivalent experience. Perform development, modification, and implementation of software and…&hellip;
Skills: Jira, Computer science, Azure, Management, Visual Studio",<built-in function id>
Entry-level React Developer,"Naperville, IL",$62K - $70K (Employer est.),"In this role as React Developer, you should be passionate about developing solutions to achieve business needs and will be involved in all aspects of the…&hellip;
Skills: Node.js, CSS, React, XML, DevOps",<built-in function id>
Applications Development Manager,"Rolling Meadows, IL",$101K - $139K (Glassdoor est.),"Maintains and supports existing application portfolio, including managing technical debt, driving standardization and reuse, and retiring obsolete applications.&hellip;
Skills: ASP.NET, Oracle, MVC, Management, Software troubleshooting",<built-in function id>
Lead Applications Developer,"Deerfield, IL",$116K (Employer est.),"Ability to drive project and system architecture design and implementation. Design, develop and deliver assigned development projects/tasks within agreed…&hellip;
Skills: CI/CD, Operating systems, JUnit, Customer service, Tomcat",<built-in function id>
Automation Process Controls Engineer,"Burr Ridge, IL",$85K (Employer est.),"The successful candidate will possess a basic understanding of a chemical production processes, process control, proficiency with the process control content of…&hellip;
Skills: LAN, Programmable logic controllers, Project management, Computer networking, Leadership",<built-in function id>
